AC Number,Booth Number 2014,SAD-BJP,AAP,INC,BSP,Others,Total Valid Vote
89,80,25.41,43.09,26.75,1.04,3.71,673
89,81,22.43,47.49,27.09,1.31,1.67,838
89,82,26.63,43.53,24.17,3.32,2.35,935
89,83,25.2,48.5,21.57,0.79,3.94,635
89,84,27.7,41.46,21.25,5.57,4.01,574
89,85,38.01,29.22,29.5,0.28,2.98,705
89,86,42.68,29.78,22.77,1.59,3.18,628
89,87,15.93,44.46,33.52,2.91,3.19,722
89,88,10.39,50.65,34.49,1.3,3.17,693
89,89,22.67,53.6,18.8,2.81,2.11,569
89,90,23,44.2,28.4,0.4,4,500
89,91,18.13,54.74,20.56,0.73,5.84,822
89,92,25.64,47.54,21.73,0.68,4.41,589
89,93,22.62,47.66,24.56,0.81,4.36,619
89,94,18.93,56.96,20.55,0.16,3.4,618
89,95,23.38,57.96,14.93,0,3.73,402
89,96,34.68,42.09,20.54,0.17,2.53,594
89,97,47.12,35.98,14.71,0,2.19,503
89,98,25.72,46.27,25.24,0.12,2.64,832
89,99,16.7,50.33,29.12,0.55,3.3,910
89,100,17.27,56.02,21.99,2.11,2.61,805
89,101,11.81,56.61,27.84,0.47,3.27,855
89,102,12.13,44.35,36.82,1.46,5.23,478
89,103,10.54,53.68,30.02,1.79,3.98,503
89,104,22.54,37.22,38.43,0.2,1.61,497
89,105,21.94,38.27,37.5,0,2.3,392
89,106,24.21,52.38,21.83,0.2,1.39,504
89,107,10.72,47.5,40.48,0,1.29,541
89,108,22.19,35.52,39.45,0.11,2.73,915
89,109,25.04,38.45,35.63,0.35,0.53,567
89,110,29.95,36.47,29.95,1.21,2.42,414
89,111,20.94,42.95,32.75,0,3.36,745
89,112,24.18,50.59,22.48,0.13,2.61,765
89,113,24.83,44.21,27.81,0.33,2.81,604
89,114,23.12,42.01,31.48,0.61,2.78,826
89,115,43.06,33.33,19.58,0.28,3.75,720
89,116,40.68,44.49,13.56,0,1.27,472
89,117,29.73,37.87,28.11,1.04,3.25,676
89,118,35.22,36.94,23.09,0,4.75,758
